drama_name,genre,whole_density,whole_diameter,whole_average_clustering,wo1_density,wo1_diameter,wo1_average_clustering,wo2_density,wo2_diameter,wo2_average_clustering,wo3_density,wo3_diameter,wo3_average_clustering,wo4_density,wo4_diameter,wo4_average_clustering,wo5_density,wo5_diameter,wo5_average_clustering
DasleidendeWeib-EinTrauerspiel,Tragedy,0.2564102564102564,4,0.6931264209041985,0.22058823529411764,5,0.5241830065359477,0.2676923076923077,4,0.7058080808080809,0.29333333333333333,4,0.7620404040404041,0.26461538461538464,4,0.7288683538683538,0.2523076923076923,4,0.7255328005328004
LucieWoodvil-EinbürgerlichesTrauerspielinfünfHandlungen,Tragedy,0.75,2,0.8833333333333333,0.75,2,0.8833333333333333,0.6785714285714286,2,0.8928571428571428,0.75,2,0.8833333333333333,0.7142857142857143,2,0.8482142857142857,0.9047619047619048,2,0.9238095238095239
DerMißtrauische-EinLustspielinfünfAufzügen,Comedy,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
HerodesundMariamne-EineTragödieinfünfAkten,Tragedy,0.29894179894179895,4,0.848037703610459,0.3233333333333333,0,0.8841776785306196,0.32666666666666666,3,0.8383607445186392,0.31339031339031337,4,0.8442575910756166,0.3794466403162055,3,0.8454635383461605,0.2987012987012987,4,0.835732449368813
DerWirrwarroderderMuthwillige-EinePosseinfünfAkten,Comedy,0.5428571428571428,2,0.8001924001924003,0.6043956043956044,2,0.7967072609929753,0.5428571428571428,2,0.8001924001924003,0.5428571428571428,2,0.8001924001924003,0.6153846153846154,2,0.8629743272600415,0.5833333333333334,2,0.7552910052910052
GroßmütigerRechtsgelehrterTrauerspiel,Tragedy,0.4492063492063492,2,0.8744210350584911,0.47058823529411764,2,0.8738534019491632,0.47783251231527096,2,0.905669208711805,0.5,2,0.8923441979476463,0.44507575757575757,2,0.9264707679605813,0.5726495726495726,2,0.8697881660695559
KönigYngurd-TrauerspielinfünfAkten,Tragedy,0.2702702702702703,3,0.8103360712926887,0.27899159663865547,3,0.8089120304045405,0.42735042735042733,3,0.8147303628155694,0.28698752228163993,3,0.818463082616084,0.2552552552552553,3,0.7986648862607943,0.2916666666666667,4,0.7962172145749404
SiegfriedsTod-EinTrauerspielinfünfAkten,Tragedy,0.47368421052631576,0,0.7409721857090278,0.47368421052631576,0,0.7409721857090278,0.5367647058823529,3,0.8077311577311577,0.45614035087719296,0,0.7353475471896525,0.48366013071895425,0,0.7195289278622612,0.45,0,0.6926316738816739
PoncedeLeon-LustspielinfünfAufzügen,Comedy,0.2135306553911205,0,0.779732438715013,0.2702702702702703,0,0.7530164021831811,0.24358974358974358,0,0.8029668995361187,0.25371120107962214,4,0.812345026893172,0.21373200442967885,0,0.7761793300879058,0.210752688172043,0,0.7515750339854006
FigaroinDeutschland-EinLustspielinfünfAufzügen,Comedy,0.5894736842105263,3,0.8315835145246911,0.5906432748538012,2,0.8152347136867261,0.5157894736842106,3,0.7956153731889025,0.6140350877192983,3,0.8376544508123456,0.6601307189542484,2,0.8272949272949275,0.6209150326797386,3,0.8068311318311319
Sozialaristokraten-Komödie,Comedy,0.7279411764705882,2,0.8865187100481218,0.8380952380952381,2,0.9130240130240129,0.75,2,0.8981227106227107,0.8181818181818182,2,0.8985690235690237,0.7666666666666667,2,0.9006410256410257,0.7279411764705882,2,0.8865187100481218
DienatürlicheTochter-Trauerspiel,Tragedy,0.32727272727272727,3,0.6588744588744588,0.3333333333333333,4,0.6592592592592593,0.3090909090909091,3,0.7376623376623376,0.3333333333333333,3,0.6514285714285715,0.3090909090909091,3,0.5677489177489178,0.4642857142857143,3,0.6833333333333333
JuliusvonTarent-EinTrauerspiel,Tragedy,0.25,4,0.5607638888888888,0.225,4,0.6111111111111112,0.24761904761904763,5,0.5346031746031746,0.26666666666666666,4,0.5368253968253968,0.28205128205128205,3,0.5505494505494505,0.3076923076923077,4,0.6004884004884005
ProfessorBernhardi-KomödieinfünfAkten,Comedy,0.544973544973545,2,0.8377955855726368,0.5415384615384615,2,0.866735282261598,0.5132275132275133,2,0.872984608801052,0.5612648221343873,2,0.8459564395760384,0.58,2,0.8575147156428621,0.62,2,0.8600071786845241
DerletzteHeldvonMarienburg-Trauerspiel,Tragedy,0.2506265664160401,3,0.8286000778484202,0.26448979591836735,3,0.8134674393064949,0.2938689217758985,4,0.8309629435231041,0.23433583959899748,3,0.8575119367155167,0.3393939393939394,3,0.8355515497956159,0.25036284470246734,4,0.8372460056885634
Faust.DerTragödiezweiterTeil-InfünfAkten,Tragedy,0.11266352694924124,0,0.9464714331352541,0.1301296720061022,0,0.937703427618803,0.15178807947019868,0,0.9484706729007717,0.12767560102943945,0,0.9500946417139626,0.1298051948051948,0,0.9477960150622188,0.1451554721881538,4,0.9410285551360718
DieVerschwörungdesFiescozuGenua-EinrepublikanischesTrauerspiel,Tragedy,0.2019914651493599,4,0.7739661280388667,0.2192513368983957,4,0.7631208612609996,0.2439516129032258,4,0.7396104171937267,0.2042042042042042,4,0.7809148572306467,0.21212121212121213,4,0.7766699293972021,0.2014260249554367,4,0.79117346705582
DerBettlervonSyrakus-TragödieinfünfAktenundeinemVorspiel,Tragedy,0.1930363543266769,5,0.8506187736762868,0.20273224043715846,4,0.8628181009354591,0.27682926829268295,4,0.843850064571824,0.22180451127819548,5,0.8410841526080504,0.21739130434782608,5,0.8443205058979796,0.19672131147540983,5,0.8394197853155598
Rosenmontag-EineOffiziers-Tragödie,Tragedy,0.38823529411764707,3,0.8336618065995482,0.5,3,0.7928249699258103,0.4153225806451613,3,0.8375877996272733,0.38487394957983195,3,0.8462759978276656,0.4028520499108734,3,0.8354674870470378,0.38446969696969696,3,0.7823917679111698
Weltgericht-Tragödiein2Theilenund5Akten,Tragedy,0.4597402597402597,2,0.9132948573336667,0.5189639222941721,2,0.9277381124376699,0.48911465892597966,2,0.9271880014469651,0.4862119013062409,2,0.9322016981451021,0.48548621190130625,2,0.9275719360837121,0.4966261808367072,2,0.8990962998387423
Faust-EinTrauerspielinfünfActen,Tragedy,0.24761904761904763,3,0.747521581732108,0.26842105263157895,3,0.7859640522875816,0.26842105263157895,3,0.7859640522875817,0.2426470588235294,3,0.7109243697478992,0.24285714285714285,3,0.7154970760233917,0.45454545454545453,2,0.7212481962481961
DerHypochondrist-EindeutschesLustspiel,Comedy,0.5818181818181818,2,0.8264790764790765,0.5454545454545454,2,0.841053391053391,0.6,3,0.8357142857142857,0.5277777777777778,3,0.8132275132275132,0.6444444444444445,2,0.8373015873015873,0.5818181818181818,2,0.8264790764790765
DasLiebeskonzil-EineHimmelstragödieinfünfAufzügen,Comedy,0.27342995169082124,0,0.9033808976153022,0.49666666666666665,0,0.8959999999999999,0.3620689655172414,0,0.8467421134587552,0.2797979797979798,0,0.9154253154253155,0.28383838383838383,0,0.9100982753156667,0.29809725158562367,0,0.9444436656887251
