name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"ernst-die-groesste-suende","ger000572","Q19183376","Ernst","0","Die größte Sünde","Drama in 5 Akten","","https://de.wikisource.org/wiki/Die_größte_Sünde","","","","","1895","16","false","0.6819940476190477","0.325","1.8666666666666667","wolfgang","4.875","4","1895-09-08","1895","1895","12","16","5","10","1","1","1","39","","35","0","5","35","23957","22883","3622","968","0"
"ertler-anna-iwanowna","ger000420","Q52894427","Ertler","0","Anna Iwanowna","Ein Schauspiel in drei Akten und einem Vorspiel als Oper vertont von Konrad Steckl","","http://www.textgridrep.org/textgrid:mvqs.0","","","","","1920","23","false","0.9263484798953907","0.8260869565217391","1.173913043478261","several characters","18.17391304347826","2","","1920","1920","22","23","2","20","1","3","1","209","1918/1919","4","0","3","0","24745","22937","6523","1113","23"
"ertler-belian-und-marpalye","ger000367","Q52894532","Ertler","0","Belian und Marpalye","Ein Traumspiel","","http://www.textgridrep.org/textgrid:mvqp.0","","","","","1924","25","false","0.8413949710420299","0.3933333333333333","1.65","der_fremde","9.44","3","","1924","1924","21","25","4","20","1","2","1","118","1922/1923","26","0","9","23","15615","12684","3953","525","0"
"ertler-das-spiel-von-doktor-faust","ger000052","Q52894676","Ertler","0","Das Spiel von Doktor Faust","Ein deutsches Stück im Volkston in einem Vorspiel und drei Akten","","http://www.textgridrep.org/textgrid:mvqk.0","","","","","1923","22","false","0.6632690541781451","0.19913419913419914","1.9210526315789473","hanswurst","4.181818181818182","3","","1923","1923","12","22","3","16","3","3","3","46","1922","51","0","3","51","15320","13892","1318","0","2026"
"essig-der-frauenmut","ger000276","Q52894780","Essig","0","Der Frauenmut","Lustspiel in fünf Aufzügen","Comedy","http://www.textgridrep.org/textgrid:mvr3.0","","","","","1912","34","false","0.9197996359024954","0.5935828877005348","1.4064171122994653","roland|femina_frau_kuenkeluen","19.58823529411765","2","","1914","1912","33","34","21","13","0","6","1","333","1910/1911","5","0","5","0","28632","28148","4436","1726","24"
"essig-ueberteufel","ger000046","Q52894875","Essig","0","Überteufel","Tragödie in fünf Aufzügen","Tragedy","http://www.textgridrep.org/textgrid:mvrf.0","","","","","1912","20","false","0.9216471995496764","0.8421052631578947","1.1578947368421053","several characters","16","2","","1923","1912","19","20","8","9","3","2","1","160","1906","5","0","5","0","26973","26105","4178","1596","79"
"fock-cili-cohrs","ger000203","Q51498134","Fock","0","Cili Cohrs","Irnsthaftig Spill","","http://www.textgridrep.org/textgrid:n0xc.0","","","","","1914","5","false","0.4333333333333334","0.5","1.5","cili","2","2","","","1914","4","5","1","4","0","0","1","5","","10","0","0","10","5687","5555","372","243","6"
"fouque-aslauga","ger000471","Q59786089","Fouqué","0","Aslauga","Ein Heldenspiel in drei Abentheuren","","http://www.textgridrep.org/textgrid:n23j.0","","","","","1810","65","false","0.8957293775910544","0.21971153846153846","1.8835855646100117","kriegsleute","14.061538461538461","3","","","1810","35","65","9","51","5","6","3","457","","19","0","3","0","16506","15731","723","4","2152"
"fouque-sigurd-der-schlangentoedter","ger000212","Q59786086","Fouqué","0","Sigurd, der Schlangentödter","Ein Heldenspiel in sechs Abentheuren","","http://www.textgridrep.org/textgrid:n23j.0","","","","","1808","26","false","0.8277397073383695","0.3076923076923077","1.7384615384615385","sigurd","7.6923076923076925","3","","","1808","23","26","10","13","3","1","1","100","","17","0","6","0","28926","26924","1137","0","3822"
"fouque-sigurds-rache","ger000470","Q59786088","Fouqué","0","Sigurds Rache","Ein Heldenspiel in sechs Abentheuren","","http://www.textgridrep.org/textgrid:n23j.0","","","","","1810","50","false","0.8797835618639249","0.3640816326530612","1.6555102040816327","gudruna","17.84","3","","","1810","44","50","8","41","1","3","1","446","","11","0","6","0","22288","21664","1008","0","3042"
"frank-sturm-im-wasserglas","ger000712","Q18631338","Frank","0","Sturm im Wasserglas","Komödie in drei Akten","Comedy","https://commons.wikimedia.org/wiki/File:Sturm_im_Wasserglas,_Frank_1930.5.pdf","Drei Masken Verlag","München","1930","156","1930","15","false","0.9384615384615385","0.8666666666666667","1.1333333333333333","several characters","12.133333333333333","2","1930-08-29","1930","1930","14","15","4","11","0","0","1","91","","3","1","0","3","20434","18968","3324","1281","8"
"frech-von-ehrimfeld-die-gefahr","ger000717","Q132172273","Frech","0","Die Gefahr","Eine dramatische Situation","","https://books.google.com/books?id=6qdIAAAAcAAJ&printsec=frontcover","Wallishausser","Wien","1804","14","1804","1","false","0","0","0","stephan","0","0","","","1804","0","1","0","1","0","0","1","0","","1","0","0","1","1363","1315","38","12","0"
"freisleben-der-weihnachtstag","ger000638","Q121590873","Freisleben","0","Der Weihnachtstag","Drama in Einem Aufzuge. Bearbeitet nach einer Schreckensscene aus der wirklichen Welt","","https://books.google.com/books?id=vchIAAAAcAAJ&pg=PA103","Grüning","Bernburg","1827","16","1827","4","false","1","1","1","several characters","3","1","","","1827","3","4","1","3","0","0","1","6","","6","0","0","6","2105","1931","444","0","213"
"freytag-der-gelehrte","ger000508","Q101018064","Freytag","0","Der Gelehrte","Trauerspiel in einem Act","Tragedy","https://books.google.com/books?id=gREpl62Am2UC&pg=PA113","","","","","1848","8","false","0.8458333333333333","0.5","1.5","walter","3.5","2","","","1848","7","8","1","6","1","1","1","14","1844","16","0","0","0","7075","6805","382","0","900"
"freytag-die-journalisten","ger000365","Q50540645","Freytag","0","Die Journalisten","Lustspiel in vier Akten","Comedy","http://www.textgridrep.org/textgrid:n2k7.0","","","","","1852","24","false","0.8771016539764859","0.7391304347826086","1.2608695652173914","bolz|bellmaus","17","2","","1852","1854","23","24","5","19","0","1","1","204","","7","3","4","6","27820","27425","2476","1065","13"
"freytag-graf-waldemar","ger000233","Q51506918","Freytag","0","Graf Waldemar","Schauspiel in fünf Akten","","http://www.textgridrep.org/textgrid:n2kq.0","","","","","1848","19","false","0.8370854120080127","0.5555555555555556","1.4444444444444444","waldemar","10","2","","1848","1850","18","19","5","14","0","0","1","95","1847","7","0","5","7","22794","22520","1528","785","0"
"ganghofer-der-herrgottschnitzer-von-ammergau","ger000376","Q52895174","Ganghofer","0","Der Herrgottschnitzer von Ammergau","Volksschauspiel in 5 Aufzügen","","http://www.textgridrep.org/textgrid:n3cn.0","","","","","1880","22","false","0.7918212838385931","0.5454545454545454","1.4761904761904763","loisl","11.454545454545455","3","","1880","1880","19","22","7","15","0","2","1","126","","47","0","5","47","23977","23286","2535","949","100"
"gasser-ramirus","ger000658","Q123824760","Sager","0","Ramirus","in einem Aufzuge","","https://books.google.com/books?id=rNVNAAAAcAAJ&pg=PA101","Rieger","Augsburg","1775","28","1775","7","false","0.8857142857142858","0.7142857142857143","1.2857142857142858","melinde|alcmeon","4.285714285714286","2","","","1775","6","7","2","5","0","0","1","15","","10","0","0","10","4612","4505","67","116","0"
"gehe-jessonda","ger000026","Q1409734","Gehe","0","Jessonda","Oper in drei Aufzügen","","http://www.textgridrep.org/textgrid:n3dj.0","","","","","1828","14","true","0.9420579420579422","0.9230769230769231","1.0769230769230769","several characters","12","2","","1828","","13","14","6","8","0","5","1","84","","3","3","3","0","5007","4909","33","0","945"
"gellert-das-band","ger000766","Q123510638","Gellert","0","Das Band","Ein Schäferspiel in einem Aufzuge","","https://books.google.com/books?id=L-5DAQAAIAAJ&pg=PA381","Weidmann und Hahn","Leipzig","1839","28","1744","5","false","0.9","0.9","1.1","galathee|myrtill|montan","3.6","2","","1744","1744","4","5","3","2","0","0","1","9","","9","0","0","9","4871","4807","30","0","478"
"gellert-die-betschwester","ger000124","Q1211320","Gellert","0","Die Betschwester","Lustspiel","Comedy","http://www.textgridrep.org/textgrid:n79j.0","Insel Verlag","Frankfurt/Main","1979","53","1745","5","false","1","1","1","several characters","4","1","","1745","1745","4","5","3","2","0","0","1","10","","25","1","3","25","18400","18231","150","414","0"
"gellert-die-zaertlichen-schwestern","ger000326","Q1219978","Gellert","0","Die zärtlichen Schwestern","Ein Lustspiel in drei Aufzügen","Comedy","http://www.textgridrep.org/textgrid:n750.0","Insel Verlag","Frankfurt/Main","1979","69","1747","8","false","0.9285714285714285","0.8571428571428571","1.1428571428571428","siegmund|lottchen|simon","6","2","","1747","1747","7","8","2","6","0","0","1","24","","53","1","3","53","23295","22998","411","615","0"
"gemmingen-hornberg-der-deutsche-hausvater","ger000189","Q52895487","Gemmingen-Hornberg","0","Der deutsche Hausvater oder die Familie","Ein Schauspiel","","http://www.textgridrep.org/textgrid:n7rr.0","","","","","1779","22","false","0.8302267177267176","0.341991341991342","1.7532467532467533","karl|hausvater","7.181818181818182","3","","1779","1780","16","22","6","16","0","0","1","79","","40","0","7","40","20157","19198","1782","957","0"
"gengenbach-der-nollhart","ger000697","Q125280256","Gengenbach","0","Der Nollhart","Diß sind die prophetien sancti Methodii vnd Nollhardi [...]","Comedy","http://www.textgridrep.org/textgrid:n7s9.0","Rümpler","Hannover","1856","40","1515","14","false","1","1","1","several characters","13","1","","1515","1517","13","14","2","12","0","0","1","91","","1","0","0","1","8863","8076","41","0","1301"
"gennep-homulus","ger000647","Q123019087","Gennep","0","Homulus (Der sünden loin ist der Toid)","Geistliches Schauspiel","","https://books.google.com/books?id=OQNIqnBQ8XEC&printsec=frontcover","Bädeker","Viersen","1873","32","1539","32","false","1","1","1","several characters","31","1","","1539","1540","31","32","4","13","15","1","1","496","","1","0","1","0","15991","14749","364","1","1972"
"georg-von-preussen-sappho","ger000750","Q136706902","Preußen","0","Sappho","Drama in einem Aufzuge","","https://resolver.staatsbibliothek-berlin.de/SBB0003354000000000","Voß","Berlin","1887","41","1887","7","false","1","1","1","several characters","6","1","","","1887","6","7","4","3","0","2","1","21","","2","0","0","2","5963","5760","180","0","832"
