title,title_pretty,genre,is_whole,acts_1_density,acts_1_diameter,acts_1_average_clustering,acts_1-2_density,acts_1-2_diameter,acts_1-2_average_clustering,acts_1-2-3_density,acts_1-2-3_diameter,acts_1-2-3_average_clustering,acts_1-2-3-4_density,acts_1-2-3-4_diameter,acts_1-2-3-4_average_clustering,acts_1-2-3-4-5_density,acts_1-2-3-4-5_diameter,acts_1-2-3-4-5_average_clustering
chamfort-mustapha-zeangir,Mustapha et Zéangir,Tragedy,True,0.4,4,0.0,0.42857142857142855,4,0.42857142857142855,0.4166666666666667,4,0.5296296296296297,0.4722222222222222,4,0.5888888888888889,0.4722222222222222,4,0.5888888888888889
champrepus-ulysse,Ulysse,Tragedy,True,0.7,2,0.7,0.42857142857142855,3,0.4714285714285714,0.3111111111111111,4,0.5523809523809524,0.2727272727272727,4,0.5021645021645021,0.2727272727272727,3,0.5717592592592592
chevalier-pedagogue-amoureux,Le Pédagogue Amoureux,Comedy,True,0.16666666666666666,2,0.2592592592592593,0.37777777777777777,2,0.4633333333333334,0.4090909090909091,4,0.6428571428571429,0.4090909090909091,4,0.6428571428571429,0.6538461538461539,3,0.8204240204240205
chevreau-avocat-dupe,L'Avocat Dupé,Comedy,True,0.4,1,0.6,0.2777777777777778,4,0.4444444444444444,0.3888888888888889,3,0.7111111111111111,0.4722222222222222,3,0.6666666666666666,0.5833333333333334,3,0.8380952380952381
chevreau-coriolan,Coriolan,Tragedy,True,0.4,3,0.3611111111111111,0.3055555555555556,3,0.5259259259259259,0.3888888888888889,3,0.8185185185185184,0.4166666666666667,3,0.6888888888888889,0.23809523809523808,4,0.706031746031746
chevreau-la-lucrece-romaine,La Lucrèce Romaine,Tragedy,True,0.5,3,0.3333333333333333,0.39285714285714285,3,0.5833333333333334,0.3333333333333333,4,0.4966666666666667,0.2909090909090909,4,0.4393939393939394,0.43636363636363634,4,0.5904761904761905
chenier-charles-ix,Charles Ix ou L'Ecole des Rois,Tragedy,True,0.3333333333333333,2,0.3888888888888889,0.42857142857142855,4,0.5714285714285714,0.7142857142857143,2,0.8380952380952381,0.9523809523809523,2,0.9523809523809524,1.0,1,1.0
cheron-homme-a-bonnes-fortunes,L'Homme à Sentiments,Comedy,True,0.5333333333333333,2,0.6055555555555555,0.42857142857142855,3,0.7916666666666666,0.4642857142857143,3,0.7208333333333333,0.5,3,0.7645502645502645,0.6111111111111112,2,0.8428571428571429
colardeau-astarbe,Astarbe,Tragedy,True,0.5,3,0.0,0.35714285714285715,4,0.22083333333333333,0.3888888888888889,4,0.42962962962962964,0.4722222222222222,3,0.5222222222222223,0.5555555555555556,3,0.6486772486772486
colle-l-amant-anonyme,"L'Amant Anonyme, Comédie",Comedy,True,0.7,2,0.7,0.6071428571428571,2,0.8178571428571428,1.0,1,1.0,1.0,1,1.0,0.8888888888888888,2,0.9365079365079365
constant-wallstein,Wallstein,Tragedy,True,0.6944444444444444,2,0.7904761904761904,0.6444444444444445,3,0.7280952380952381,0.5636363636363636,3,0.6523809523809524,0.4065934065934066,3,0.7080498866213152,0.42857142857142855,3,0.8342775742775743
cinq-auteurs-aveugle-de-smyrne,L'Aveugle de Smyrne,Comedy,True,0.8571428571428571,2,0.9142857142857144,0.8571428571428571,2,0.8952380952380953,0.7222222222222222,2,0.8698412698412699,0.5818181818181818,2,0.839033189033189,0.6909090909090909,2,0.8604617604617605
cinq-auteurs-comedie-des-tuileries,La Comédie des Thuileries,Comedy,False,0.5,3,0.0,0.6071428571428571,3,0.6041666666666666,0.5333333333333333,4,0.7238095238095238,0.3956043956043956,4,0.6996598639455783,0.47619047619047616,3,0.7240740740740741
corneillep-agesilas,Agésilas,Tragedy,True,0.6666666666666666,2,0.5833333333333334,0.5238095238095238,2,0.6904761904761905,0.3888888888888889,3,0.5317460317460317,0.5,3,0.626984126984127,0.6111111111111112,3,0.7259259259259259
corneillep-andromede,Andromède,Tragedy,False,0.8666666666666667,2,0.9,0.4230769230769231,3,0.7984126984126985,0.3137254901960784,3,0.762413820747154,0.2736842105263158,3,0.7838095238095237,0.2608695652173913,5,0.7190814016900973
corneillep-attila,Attila,Tragedy,True,0.6666666666666666,2,0.5833333333333334,0.42857142857142855,3,0.619047619047619,0.5714285714285714,3,0.6666666666666667,0.6190476190476191,2,0.619047619047619,0.6666666666666666,2,0.7999999999999999
corneillep-cid,Le Cid,Tragedy,True,0.21428571428571427,1,0.375,0.25757575757575757,4,0.4777777777777778,0.30303030303030304,4,0.5170634920634921,0.3484848484848485,4,0.6194444444444445,0.3787878787878788,3,0.6075396825396825
corneillep-cinna-43,Cinna,Tragedy,True,0.6666666666666666,2,0.5833333333333334,0.4666666666666667,3,0.611111111111111,0.38095238095238093,4,0.42857142857142855,0.3611111111111111,4,0.47777777777777775,0.4722222222222222,3,0.674074074074074
corneillep-cinna,Cinna (1682),Tragedy,True,0.6666666666666666,2,0.5833333333333334,0.4666666666666667,3,0.611111111111111,0.38095238095238093,4,0.42857142857142855,0.3611111111111111,4,0.47777777777777775,0.4722222222222222,3,0.674074074074074
corneillep-clitandre,Clitandre,Tragedy,True,0.25,3,0.2916666666666667,0.22727272727272727,4,0.5083333333333333,0.1978021978021978,5,0.43571428571428567,0.23333333333333334,5,0.4979166666666667,0.3,4,0.5513888888888889
corneillep-don-sanche,Don Sanche d'Aragon,Comedy,True,0.5714285714285714,3,0.6571428571428571,0.5,3,0.5,0.5357142857142857,3,0.5166666666666666,0.6785714285714286,2,0.763095238095238,0.7111111111111111,2,0.8456349206349205
corneillep-galerie-du-palais,La Galerie du Palais,Comedy,True,0.45454545454545453,4,0.5727272727272728,0.4909090909090909,3,0.5813852813852814,0.48484848484848486,3,0.5892857142857143,0.6060606060606061,3,0.7667989417989417,0.7272727272727273,2,0.8301106301106301
