name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"allary-les-lilas-blancs","fre001822","","Allary","0","Les Lilas Blancs","Comédie","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLARY_LILASBLANCS.xml","","","","","1881","3","false","0","0.6666666666666666","1.3333333333333333","cecile","1.3333333333333333","2","","","1881","2","3","1","0","2","0","1","2","","4","","0","4","3039","2877","255","117","0"
"ancelot-arago-papillotes","fre000014","","Ancelot","1","Les Papilllotes","Comédie en un Acte, Mêlée de Chant.","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANCELOT-ARAGO_PAPILLOTES.xml","","","","","1834","16","false","0.9225524475524476","0.65","1.35","ninon|saint-pol","9.75","2","1834-01-17","1834","1834","15","16","2","5","9","0","1","78","","17","","0","17","9631","9350","377","522","67"
"ancelot-auger-une-seduction","fre001501","","Ancelot","1","Une Séduction","Drame en Deux Actes, Mêlé de Couplets.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANCELOT-AUGER_SEDUCTION.xml","","","","","1832","8","false","0.9404761904761905","0.9285714285714286","1.0714285714285714","several characters","6.5","2","1832-08-06","1832","1832","7","8","1","2","5","0","1","26","","32","","0","32","13456","13105","377","640","93"
"andrieux-anaximandre","fre000015","","Andrieux","0","Anaximandre, Comédie.","","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_ANAXIMANDRE.xml","","","","","1782","5","false","0.6","0.6","1.4","anaximandre","2.4","2","1782-12-20","1782","1805","4","5","3","2","0","0","1","6","","12","","1","12","5852","5109","262","0","632"
"andrieux-la-comedienne","fre001571","","Andrieux","0","La Comédienne","Comédie en Trois Actes et en vers","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_COMEDIENNE.xml","","","","","1804","7","false","0.8095238095238094","0.7619047619047619","1.2380952380952381","monsieur-de-gouvignac","4.571428571428571","2","1816-03-06","1816","1804","6","7","4","3","0","0","1","16","","31","","1","31","12642","12225","110","0","1190"
"andrieux-le-reve-du-mari","fre001573","","Andrieux","0","Le Rêve du Mari","Ou le Manteau","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_REVEDUMARI.xml","","","","","1826","5","false","1","1","1","several characters","4","1","1826-05-20","1826","1826","4","5","3","2","0","0","1","10","","23","","0","23","8624","8232","269","0","802"
"andrieux-les-etourdis","fre001572","","Andrieux","0","Les Etourdis","Ou le Mort Supposé","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_ETOURDIS.xml","","","","","1788","8","false","0.8369047619047619","0.7857142857142857","1.2142857142857142","daiglemont|monsieur-daiglemont","5.5","2","1816-03-06","1816","1788","7","8","2","6","0","0","1","22","","38","","0","38","11789","11392","147","0","1140"
"andrieux-moliere-et-ses-amis","fre000016","","Andrieux","0","Molière et ses Amis ou La Soirée d'Auteuil","Comédie en un Acte et en vers","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANDRIEUX_MOLIEREETSESAMIS.xml","","","","","1804","9","false","0.9523809523809526","0.9444444444444444","1.0555555555555556","several characters","7.555555555555555","2","1804-08-04","1804","1804","8","9","2","6","1","0","1","34","","19","","1","19","8497","8098","167","0","924"
"anomyme-dialogue-de-la-prude-et-de-la-coquette","fre001504","","[anonyme]","0","Dialogue de la Prude et de la Coquette","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_PRUDECOQUETTE.xml","","","","","1659","2","false","0","1","1","angelique|iris","1","1","","","1659","1","2","2","0","0","0","1","1","","1","","0","1","6397","5012","496","42","42"
"anonyme-adam","fre000017","Q1008497","[anonyme]","0","Adam","Mystère","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_ADAM.xml","","","","","1170","18","false","0.7592592592592592","0.40522875816993464","1.1857142857142857","several characters","6.888888888888889","4","","","1170","10","18","1","14","3","0","3","62","1150/1170","10","8","1","10","12049","11890","1904","1","1308"
"anonyme-aventures-de-ninette","fre000018","","[anonyme]","0","Les Aventures de Ninette","Comédie en 4 Tableaux","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_AVENTURESDENINETTE.xml","","","","","1833","8","false","0.8422619047619048","0.6785714285714286","1.3214285714285714","la-maman","4.75","2","1833-01-01","1833","1833","7","8","3","1","4","0","1","19","","6","","1","6","2325","2148","518","91","0"
"anonyme-bonnes-gens","fre000019","","[anonyme]","0","Les Bonnes Gens","Petite Pièce en un Acte, et en Vers.","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_BONNESGENS.xml","","","","","1772","6","false","0.9","0.6","1.4","madame-guillaume","3","2","","","1772","5","6","0","3","3","0","1","9","","6","","1","6","3578","3040","30","0","395"
"anonyme-chapelain-decoiffe","fre000020","","[anonyme]","0","Fragment d'une Comédie Intitulée Chapelain Décoiffé.","D'une autre façon.","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_CHAPELAINDECOIFFE.xml","","","","","1666","3","false","1","1","1","chapelain|cassaigne|la-serre","2","1","","","1666","2","3","0","3","0","0","1","3","","5","","1","5","2432","2312","0","0","245"
"anonyme-chapelain-decoiffe-2","fre000021","","[anonyme]","0","Fragment d'une Comédie Intitulée Chapelain Décoiffé [2]","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_CHAPELAINDECOIFFE_2.xml","","","","","1666","2","false","0","1","1","chapelain|la-serre","1","1","","","1666","1","2","0","2","0","0","1","1","","2","","1","2","1459","1358","30","0","126"
"anonyme-club-des-dames","fre000022","Q123529816","[anonyme]","0","Le Club des Dames ou Le Retour de Descartes","Comédie en un Acte et en Prose.","Comedy","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_CLUBDESDAMES.xml","","","","","1784","11","false","0.8376623376623378","0.509090909090909","1.5454545454545454","descartes","5.090909090909091","3","","","1784","9","11","5","3","3","0","1","28","","8","0","1","8","7258","6020","160","188","9"
"anonyme-d-alcippe-et-de-drionice","fre001502","","[anonyme]","0","Dialogue d'Alcippe et de Dionice","","","http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ANONYME_DIALOGUEALCIPPEDRIONICE.xml","","","","","1659","2","false","0","1","1","alcipe|drionice","1","1","","","1659","1","2","0","2","0","0","1","1","","1","","0","1","1272","1214","100","16","0"
