title,title_pretty,genre,kept_characters,character_count,removed_characters,removed_characters_count,whole_density,whole_diameter,whole_average_clustering,wo1_density,wo1_diameter,wo1_average_clustering,wo2_density,wo2_diameter,wo2_average_clustering,wo3_density,wo3_diameter,wo3_average_clustering,wo4_density,wo4_diameter,wo4_average_clustering,wo5_density,wo5_diameter,wo5_average_clustering
montchretien-aman,Aman,Tragedy,"#choeur, #assuerus, #athac, #rachel, #aman, #esther, #mardochee, #sara, #sares, #cirus, #messager, #arphaxat",12,,,0.5757575757575758,2,0.8588985088985089,0.5757575757575758,2,0.8588985088985089,0.7222222222222222,2,0.8915343915343915,0.6363636363636364,2,0.8773448773448773,0.5333333333333333,2,0.8369047619047618,0.5757575757575758,2,0.8588985088985089
montchretien-carthaginoise,La Carthaginoise,Tragedy,"#massinisse, #nourrice, #choeur, #messager, #sophonisbe, #hiempsal, #syphax, #lelie, #scipion, #furie",10,,,0.4666666666666667,2,0.7380952380952381,0.4666666666666667,2,0.7380952380952381,0.6071428571428571,2,0.8083333333333333,0.5714285714285714,2,0.7416666666666667,0.5,2,0.7470899470899471,0.4666666666666667,2,0.7380952380952381
montchretien-david,David,Tragedy,"#choeur, #nadab, #messager, #david, #bethsabee, #nathan, #urie",7,,,0.6190476190476191,2,0.8476190476190476,0.6190476190476191,2,0.8476190476190476,0.5714285714285714,2,0.8285714285714285,0.7333333333333333,2,0.8666666666666667,0.8,2,0.8666666666666666,0.6190476190476191,2,0.8476190476190476
montchretien-hector,Hector,Tragedy,"#andromaque, #nourrice, #antenor, #helene, #cassandre, #le-choeur, #hector, #hecube, #messager, #priam",10,,,0.7777777777777778,2,0.8615079365079366,0.7777777777777778,2,0.8629629629629629,0.7777777777777778,2,0.873015873015873,0.6222222222222222,2,0.7720634920634921,0.7111111111111111,2,0.8567460317460318,0.7777777777777778,2,0.8615079365079366
montchretien-lacenes,Les Lacènes,Tragedy,"#pausanias, #agis, #stratonice, #ptolomee, #damoiselle, #archidamie, #ombre, #panthee, #cratesiclea, #choeur, #leonidas, #cleomene, #pheax, #messager",14,,,0.3956043956043956,2,0.8649398220826792,0.38461538461538464,2,0.9132867132867133,0.43636363636363634,2,0.8646464646464647,0.4230769230769231,2,0.8728271728271728,0.4696969696969697,2,0.8814935064935066,0.3956043956043956,2,0.8649398220826792
montgaudier-natalie,Natalie,Tragedy,"#adrian, #natalie, #fauste, #apollinaire, #martian, #placide, #saint-adrian, #maximian, #theodore",9,,,0.5833333333333334,2,0.7478835978835979,0.5833333333333334,2,0.7478835978835979,0.5555555555555556,3,0.7068783068783069,0.5833333333333334,2,0.7478835978835979,0.7142857142857143,2,0.8607142857142858,0.5833333333333334,2,0.7478835978835979
nadal-antiochus,Antiochus,Tragedy,"#phoedime, #zoraïde, #salmone, #achas, #phostime, #antiochus, #azaël, #elise, #alcime, #maccabee, #menelaüs",11,,,0.36363636363636365,3,0.7292207792207793,0.4,3,0.7488095238095238,0.4,3,0.7214285714285714,0.2909090909090909,3,0.591991341991342,0.3090909090909091,4,0.3896103896103896,0.36363636363636365,3,0.7292207792207793
nadal-herode,Hérode,Tragedy,"#phedime, #salome, #glaphira, #herode, #alexandre, #antipater, #achas, #phenice, #philon, #narbal, #thirron",11,,,0.36363636363636365,4,0.5688311688311688,0.3090909090909091,4,0.43333333333333335,0.32727272727272727,4,0.4727272727272727,0.36363636363636365,4,0.5688311688311688,0.35555555555555557,4,0.4633333333333334,0.36363636363636365,4,0.5688311688311688
nadal-mariamne,Mariamne,Tragedy,"#herode, #mariamne, #achas, #salome, #soësme, #alexandre, #elise, #thares, #alcime",9,,,0.4722222222222222,3,0.7481481481481481,0.4444444444444444,3,0.7370370370370369,0.4166666666666667,3,0.6518518518518519,0.4722222222222222,3,0.7481481481481481,0.5357142857142857,3,0.775,0.4722222222222222,3,0.7481481481481481
nadal-osarphis-moise,Osarphis,Tragedy,"#iseride, #jocabel, #osarphis, #tharbis, #ismene, #aaron, #phanes, #amenophis, #asaph",9,,,0.3888888888888889,3,0.5502645502645502,0.4642857142857143,2,0.6815476190476191,0.3888888888888889,3,0.5502645502645502,0.3611111111111111,4,0.4259259259259259,0.3333333333333333,3,0.337037037037037,0.3888888888888889,3,0.5502645502645502
