title,title_pretty,genre,acts_1_density,acts_1_diameter,acts_1_average_clustering,acts_1-2_density,acts_1-2_diameter,acts_1-2_average_clustering,acts_1-2-3_density,acts_1-2-3_diameter,acts_1-2-3_average_clustering,acts_1-2-3-4_density,acts_1-2-3-4_diameter,acts_1-2-3-4_average_clustering,acts_1-2-3-4-5_density,acts_1-2-3-4-5_diameter,acts_1-2-3-4-5_average_clustering
measure-for-measure,Measure for Measure,Comedy,0.358974358974359,2,0.8388278388278388,0.37254901960784315,4,0.7716129549462882,0.4444444444444444,3,0.7569880736547403,0.34057971014492755,3,0.77879767291532,0.37318840579710144,3,0.7762846816639386
much-ado-about-nothing,Much Ado About Nothing,Comedy,0.5818181818181818,3,0.851010101010101,0.775,3,0.9203296703296703,0.5571428571428572,3,0.8589625593827274,0.5138339920948617,3,0.8479988498362437,0.4676923076923077,3,0.8336570556801564
othello,Othello,Tragedy,0.8241758241758241,2,0.9413919413919414,0.5497835497835498,2,0.8523720829940925,0.4430769230769231,2,0.8416058872184554,0.42735042735042733,2,0.8402756796024171,0.4312169312169312,2,0.8397703863140472
pericles,Pericles,Tragedy,0.4090909090909091,2,0.8881313131313132,0.20634920634920634,4,0.890079365079365,0.15765765765765766,4,0.9107473933560891,0.11394557823129252,5,0.8355368234250222,0.12089447938504543,3,0.8283388619739559
richard-ii,Richard II,Tragedy,0.5757575757575758,3,0.8291666666666666,0.36796536796536794,3,0.689912864912865,0.301994301994302,4,0.7473436083085205,0.32688172043010755,4,0.7650580694372677,0.2650793650793651,4,0.7416325217497985
richard-iii,Richard III,Tragedy,0.6029411764705882,3,0.9151045033397974,0.3475783475783476,3,0.8762278625195722,0.2423076923076923,3,0.8159894647549446,0.23126734505087881,3,0.79458062367065,0.25891291642314435,3,0.8186528098440646
romeo-and-juliet,Romeo and Juliet,Tragedy,0.5098814229249012,3,0.8911069367658411,0.4533333333333333,3,0.885288274250988,0.4472934472934473,3,0.856862152685727,0.43448275862068964,3,0.842986629524387,0.37237237237237236,3,0.8163536722816556
the-comedy-of-errors,The Comedy of Errors,Comedy,0.42857142857142855,1,1.0,0.4444444444444444,2,0.9333333333333333,0.46153846153846156,2,0.9003663003663003,0.47794117647058826,2,0.8879290643996526,0.6491228070175439,3,0.8861229242034195
the-merchant-of-venice,The Merchant of Venice,Comedy,0.4444444444444444,2,0.9466666666666667,0.33088235294117646,2,0.7415499533146592,0.3463203463203463,4,0.7548850139759231,0.3715415019762846,3,0.7678408547973765,0.3804347826086957,3,0.7825383358471595
the-merry-wives-of-windsor,The Merry Wives of Windsor,Comedy,0.5619047619047619,3,0.9336752136752137,0.6140350877192983,2,0.8156773051509894,0.7238095238095238,2,0.8353617846762473,0.6926406926406926,2,0.8472092571093416,0.7193675889328063,2,0.8667284933101328
